ResponseID,ExtendedSessionID,UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3,Man,Woman,Pregnant,Stroller,OldMan,OldWoman,Boy,Girl,Homeless,LargeWoman,LargeMan,Criminal,MaleExecutive,FemaleExecutive,FemaleAthlete,MaleAthlete,FemaleDoctor,MaleDoctor,Dog,Cat,n_stay,n_swerve,n_total,stay_prob,swerve_prob
2222bRQqBTZ6dLnPH,32757157_6999801415950060.0,6999801415950060,7,0,0,0,1,Fit,Fitness,Fitness,Fit,Fat,1,5,0,1,Desktop,1,1,USA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0.0,1.0
2222bRQqBTZ6dLnPH,32757157_6999801415950060.0,6999801415950060,7,1,0,1,0,Fat,Fitness,Fitness,Fit,Fat,1,5,0,0,Desktop,1,0,USA,2.0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0
2222sJk4DcoqXXi98,1043988516_3525281295.0,3525281295,2,0,0,0,0,Rand,Random,Random,,,,1,0,1,Desktop,0,1,BEL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.0,1.0
2222sJk4DcoqXXi98,1043988516_3525281295.0,3525281295,2,1,0,1,0,Rand,Random,Random,,,,1,0,0,Desktop,0,0,BEL,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,1.0
2223CNmvTr2Coj4wp,-1613944085_422160228641876.0,422160228641876,10,0,1,0,1,Female,Gender,Gender,Male,Female,0,4,0,1,Mobile,0,0,ISR,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,1.0
2223CNmvTr2Coj4wp,-1613944085_422160228641876.0,422160228641876,10,1,1,0,2,Male,Gender,Gender,Male,Female,0,4,0,0,Mobile,0,1,ISR,1.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0.0,1.0
2223Xu54ufgjcyMR3,1425316635_327833569077076.0,327833569077076,11,0,0,1,0,Old,Age,Age,Young,Old,0,5,0,0,Desktop,1,0,MEX,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0
2223Xu54ufgjcyMR3,1425316635_327833569077076.0,327833569077076,11,1,0,0,0,Young,Age,Age,Young,Old,0,5,0,1,Desktop,1,1,MEX,1.0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0
2223jMWDEGNeszivb,-1683127088_785070916172117.0,785070916172117,8,0,1,0,2,More,Utilitarian,Utilitarian,More,Less,1,5,2,0,Mobile,0,0,CHE,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1.0,0.0
2223jMWDEGNeszivb,-1683127088_785070916172117.0,785070916172117,8,1,1,0,1,Less,Utilitarian,Utilitarian,More,Less,1,3,2,1,Mobile,0,1,CHE,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1.0,0.0
2224H2QBFKNsMmRQc,1661661891_4304873273230329.0,4304873273230330,11,0,1,0,0,Female,Gender,Gender,Male,Female,0,5,0,0,Desktop,0,1,TUR,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,1,1.0,0.0
2224H2QBFKNsMmRQc,1661661891_4304873273230329.0,4304873273230330,11,1,1,0,0,Male,Gender,Gender,Male,Female,0,5,0,1,Desktop,0,0,TUR,0.0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,1,1.0,0.0
2224YxTZcu4sJqTSD,-887960483_174929057557052.0,174929057557052,6,0,0,0,2,Hoomans,Species,Species,Hoomans,Pets,1,5,0,1,Desktop,1,0,CAN,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0.0,1.0
2224YxTZcu4sJqTSD,-887960483_174929057557052.0,174929057557052,6,1,0,1,0,Pets,Species,Species,Hoomans,Pets,1,5,0,0,Desktop,1,1,CAN,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,1,0.0,1.0
